"activation","hdim","zdim","cdim","vdim","pc","scalar","type","seed","roc"
1,-1,1,1,1,-1,-1,-1,3,0.7662835249042148
1,-1,-1,1,1,-1,-1,-1,2,0.7918263090676886
1,-1,-1,1,1,-1,-1,1,2,0.7997020008514263
1,-1,-1,1,-1,-1,-1,1,3,0.8163048105576842
1,-1,-1,1,-1,-1,-1,-1,3,0.8243933588761176
1,-1,-1,1,1,-1,-1,-1,4,0.7662835249042147
1,-1,-1,1,1,-1,-1,1,4,0.7775649212430823
1,-1,-1,1,1,-1,-1,1,3,0.79225202213708
1,-1,-1,1,1,-1,-1,-1,3,0.7905491698595153
1,-1,-1,1,1,-1,-1,-1,1,0.8229033631332486
1,-1,-1,1,1,-1,-1,1,1,0.8267347807577697
1,-1,1,1,1,-1,-1,1,1,0.8501489995742868
1,-1,1,1,1,-1,-1,-1,1,0.856108982545764
1,-1,-1,1,-1,-1,-1,-1,4,0.9114516815666239
1,-1,-1,1,-1,-1,-1,1,4,0.914644529587058
1,-1,1,1,-1,1,1,-1,2,0.3426990208599405
1,-1,1,1,-1,1,1,1,2,0.34376330353341855
1,-1,1,1,-1,1,1,-1,1,0.37760749255002124
1,-1,1,1,-1,1,-1,-1,2,0.37547892720306514
1,-1,1,1,-1,1,1,1,1,0.3801617709663687
1,-1,1,1,-1,1,-1,1,2,0.38058748403575987
1,-1,1,1,-1,1,-1,-1,3,0.45253299276287784
1,-1,1,1,-1,1,-1,1,3,0.4584929757343551
1,-1,-1,1,1,1,1,1,2,0.5034057045551299
1,-1,-1,1,1,1,1,-1,2,0.5087271179225203
1,-1,1,1,-1,1,1,-1,4,0.5163899531715623
1,-1,1,1,-1,1,1,1,4,0.5155385270327799
1,-1,1,1,1,1,1,1,2,0.5212856534695617
